"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","uniprot","genename"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.052270177839897,32.9854403245995,1.31369113067993e-238,3.33813446275187e-236,"SPRY4","81848","Q9C004","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545455,-32.941358652115,5.62520534798236e-238,1.40515722743329e-235,"ACTG2","72","P63267","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594735075,32.7383391854405,4.44954348218575e-235,1.09295619734089e-232,"PTPRK","5796","Q15262","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453704,32.6580003619409,6.16939827372917e-234,1.49056707800362e-231,"HMCN1","83872","Q96RW7","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.038987366464785,32.6047852451051,3.50828510112721e-233,8.33953319684077e-231,"IGFBP5","3488","A0A024R433","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.28548149971663e-230,"TRPA1","8989","O75762","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.0428974821222009,32.3715649486138,6.89943142071293e-230,1.58880969185105e-227,"PDGFRB","5159","P09619","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480700937,-32.0544155435893,1.9053597067055e-225,4.32018328575779e-223,"YWHAZ","7534","D0PNI1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352483,31.7791921079583,1.25506730586084e-221,2.80260332632987e-219,"TRIB1","10221","Q96RU8","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954274,0.0449230268066055,-31.7122734333046,1.05241788802219e-220,2.31500519905537e-218,"CALM3","808","Q96HY3","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255238,0.0437425179473222,31.611334176455,2.57952646093599e-219,5.59074426195215e-217,"STOM","2040","F8VSL7","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498546,0.0943819972704444,31.5755460911261,7.99970833037901e-219,1.7086913242482e-216,"SCG2","7857","P13521","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265838,31.5721460511071,8.90724413019088e-219,1.87535662843933e-216,"NR4A2","4929","F1D8N6","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555359,31.4114289631417,1.41265544511767e-216,2.93235435917523e-214,"TNFRSF11B","4982","O00300","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619627,-31.3751518190578,4.41710004911974e-216,9.04155840610093e-214,"CCNB1","891","P14635","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409629892,31.3716617370034,4.92877345832415e-216,9.95072099024401e-214,"ADAM19","8728","Q8TBU7","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992717,0.0432786266468006,-30.7505460094251,1.20240107705754e-207,2.39472798292892e-205,"FLNC","2318","Q14315","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243808,0.0685910537341658,30.6875084700677,8.35466517528329e-207,1.641747404711e-204,"GNG11","2791","P61952","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019153,30.6666297651967,1.58631168023533e-206,3.07619230833005e-204,"OLFM2","93145","O95897","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.5292805152599,1.06537508793168e-204,2.03915559038143e-202,"EZR","7430","P15311","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887574,-30.4088241725154,4.1991301009517e-203,7.93420249074695e-201,"CCBE1","147372","Q6UXH8","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"GDF15","9518","Q99988","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020603,0.0574719541070786,30.2794517298602,2.13754237985141e-201,3.93788744928127e-199,"NPTX1","4884","Q15818","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259666,-30.1352334724667,1.67481171931429e-199,3.04733026163629e-197,"ANKRD13A","88455","Q3ZTS7","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786273,-30.0569968334812,1.76884785982201e-198,3.17918045829961e-196,"TUBB6","84617","Q9BUF5","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.109401846260646,-30.0096634209982,7.34104325673237e-198,1.30352163274363e-195,"PRR11","55771","D2SNZ4","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825453,0.0507616642850063,-29.9452913860336,5.06700387339602e-197,8.89017893882269e-195,"PXN","5829","A0A140VJQ8","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001686,0.112773759026448,-29.826591124164,1.76651997412333e-195,3.06293780925054e-193,"KIF20A","10112","O95235","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929092,0.0515649231566328,29.8149196231889,2.5029123241599e-195,4.28929323644984e-193,"TFPI","7035","P10646","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544841,29.7021593738715,7.2010791112148e-194,1.21908423494522e-191,"WLS","79971","Q5T9L3","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201188,29.7017969567209,7.27910250204771e-194,1.21908423494522e-191,"ENC1","8507","O14682","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260098,0.0575941295653061,-29.6620601004806,2.37079357261621e-193,3.92592760373233e-191,"CSPG4","1464","Q6UVK1","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112714,29.6103808090876,1.09851400261205e-192,1.79887770783293e-190,"INHBA","3624","A4D1W7","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088416,-29.5795080992121,2.74196632628218e-192,4.44078018865348e-190,"RRAS2","22800","P62070","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811210976,29.4800536233607,5.18784996069942e-191,8.31071007834653e-189,"KRR1","11103","Q13601","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329818,0.0557716982088795,-29.4545779679457,1.09998439720198e-190,1.74317957483471e-188,"CNN2","1265","B4DDF4","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481222,-29.4445921079708,1.47655804440177e-190,2.31505451685035e-188,"NOTCH2","4853","Q04721","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559752,-29.4263407761986,2.52835481399715e-190,3.92240981565158e-188,"ASPM","259266","B3KWI2","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375043,29.35311006966,2.18081805464257e-189,3.34801005097106e-187,"SIPA1L2","57568","Q9P2F8","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410087,0.0593370019850952,29.34415399919,2.83730010988352e-189,4.31094113602715e-187,"PSD3","23362","B3KRC4","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517643,29.1497600192558,8.41273252887199e-187,1.26517195929097e-184,"HK2","3099","P52789","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831423,29.0450996897049,1.77448669753884e-185,2.6416550452856e-183,"ETS2","2114","P15036","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929452,0.0520551632799733,-28.962416296455,1.95795248685629e-184,2.8856303751288e-182,"SLC7A5","8140","Q01650","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448289,-28.9326537792228,4.63889644337241e-184,6.76911443390322e-182,"MTHFD2","10797","P13995","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.048637532733507,-28.8487364554737,5.25520470117868e-183,7.59325557705602e-181,"LMO7","4008","F8J2B5","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182858,-28.807108668263,1.74737916502721e-182,2.50027904215253e-180,"NT5E","4907","P21589","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570349,28.7838150590798,3.42011533495588e-182,4.84669805832497e-180,"MCC","4163","P23508","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.68630819028409,0.0934361677954557,-28.750196563763,9.00647321299162e-182,1.26416573536258e-179,"SLIT2","9353","O94813","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.6137581642745,0.0561603398586491,-28.7348361554826,1.40128319707171e-181,1.94831243004178e-179,"KPNA2","3838","P52292","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609593281,0.0513457658429212,-28.7302384474256,1.5994372306906e-181,2.20303793513253e-179,"LRRC59","55379","Q96AG4","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294158,28.7214673758132,2.05836700243126e-181,2.80890860016963e-179,"ANKRD10","55608","Q9NXR5","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302055,28.6078863178838,5.36043432752781e-180,7.24789735037659e-178,"SLC16A6","9120","A0A024R8J3","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050118,0.0428453768679294,-28.5957522156437,7.58767798458763e-180,1.0166108921532e-177,"MYH9","4627","A0A024R1N1","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791531,-28.4493217297181,4.96814084883786e-178,6.59643782253805e-176,"RRM2","6241","P31350","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487006,28.4446019542223,5.68297280088224e-178,7.47818331601808e-176,"VCAN","1462","P13611","versican"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.05309317880517,28.3665604897327,5.23016681849638e-177,6.82143350185838e-175,"GALNT1","2589","A0A024RC48","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.0724505356556393,28.3074730221491,2.79630988066937e-176,3.61508903695659e-174,"RASA2","5922","Q15283","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840274,28.274136331933,7.18932920141341e-176,9.21359424090703e-174,"OSBPL8","114882","Q5HYM3","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.03012530642751,0.0365228229247316,-28.2049749700469,5.0811717716299e-175,6.45571634226565e-173,"MSN","4478","P26038","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709686,-28.201964058809,5.53209469880495e-175,6.96854800606729e-173,"CDC20","991","Q12834","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574708,0.0659124213806067,-28.1195845475707,5.64500035843175e-174,7.05050976970908e-172,"TMBIM1","64114","A0A024R472","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.055234719953674,28.035270490571,6.04059391014006e-173,7.48119941576842e-171,"JUP","3728","A0A0S2Z487","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179009,-27.9348651225439,1.00678481500012e-171,1.23649955028931e-169,"PTX3","5806","P26022","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.095223006599412,27.885576283351,3.99157446220518e-171,4.86180367140331e-169,"FAM43A","131583","Q8N2R8","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045359,27.8775640361235,4.99214871292082e-171,6.03067932221533e-169,"SALL1","6299","Q9NSC2","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462136,-27.8678971566062,6.5381528342605e-171,7.83408914401067e-169,"KIF5B","3799","P33176","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702905,27.807452779392,3.52495005103136e-170,4.18957369775001e-168,"PRDM1","639","O75626","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550567,-27.7146638456008,4.64845066254785e-169,5.48070926917041e-167,"NSD2","7468","O96028","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691446,27.6591660006253,2.16519900492488e-168,2.53259547099865e-166,"DCP2","167227","Q8IU60","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895193,27.6420113823019,3.48151090050431e-168,4.04019745288445e-166,"PRR16","51334","Q569H4","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463349,27.5035732543463,1.59110643185824e-166,1.83200989005678e-164,"CCDC68","80323","A0A024R2B9","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232785,-27.4669575015757,4.35860484869781e-166,4.97962157055103e-164,"MCAM","4162","A0A024R3I5","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.0634971545468501,-27.4390202305671,9.39453901878344e-166,1.065051661991e-163,"CDK16","5127","Q00536","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110961,27.3907177503734,3.53780645398442e-165,3.98016729151316e-163,"COL4A6","1288","A8MXH5","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626787,-27.3631999558209,7.52223197000016e-165,8.39868596771684e-163,"RACGAP1","29127","A0A024R136","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124096974,-27.362878514664,7.58877530151234e-165,8.4092759694503e-163,"SUB1","10923","P53999","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500923,-27.358577835666,8.5377430907786e-165,9.39024310984291e-163,"PLK1","5347","P53350","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525952,-27.3447361397109,1.24733546105637e-164,1.36172074259621e-162,"EPG5","57724","Q9BTI0","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905111,27.286976442725,6.05493783116967e-164,6.56159365851314e-162,"PAG1","55824","Q9NWQ8","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.76480532250089e-162,"SLC6A15","55117","Q8IXG2","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943569511,0.0788327305720975,27.0366054838838,5.48949071174472e-161,5.86261696447056e-159,"ADAMTS7","11173","Q9UFZ4","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045885,-27.0326997212281,6.10171879415517e-161,6.46957781210495e-159,"BIRC5","332","O15392","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.111928825364899,-27.0094864846762,1.1434947865927e-160,1.20377329748595e-158,"FOXM1","2305","A0A0D9SFF0","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026632,-26.8589364660639,6.63278235149347e-159,6.93290399264616e-157,"AKIRIN1","79647","Q9H9L7","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751183808,0.0535105886137071,-26.8460420461548,9.38160184579371e-159,9.73704563403575e-157,"TUBA1C","84790","B7Z1K5","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922894,0.0754066735931277,-26.8434256913491,1.00651912785973e-158,1.0373481752725e-156,"FOSL2","2355","P15408","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709332,2.06535898801271e-158,2.11383755314801e-156,"RASGRF2","5924","O14827","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.0510598841190589,-26.8038488588671,2.9141085043222e-158,2.96194007839314e-156,"TMSB4X","7114","A2VCK8","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093575,26.7820894066193,5.22457868917932e-158,5.27396169322773e-156,"CDKN2B","1030","K7PPU3","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.077586805951709,-26.6672613337346,1.12888645631963e-156,1.13180466620671e-154,"CTNNAL1","8727","B3KMX6","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328693,-26.6284944333387,3.17636687934231e-156,3.16306047755048e-154,"TRIOBP","11078","Q9H2D6","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877154,-26.6096898008757,5.24358146562912e-156,5.18657071412362e-154,"PTGER2","5732","P43116","prostaglandin E receptor 2"
